opcode,meas,index,voice,loc,eloc,oloc,tick,sec,dur,rval,dots,sci_pitch,dmark,dlevel,status,d0,d1,bar,section,bpm,grace,tie,onset,pedal,dyn,even,tempo,player_id,piano_id,src,seg_label,spirio_label,uid
bar,1,0,,0,1,,,0,,,,,,,,,,1,,,,,,,,,,2,1,cut_0,gutim_1,,0
non,1,1,1,1,1,0,,0.0,0.05,8.0,0,C2,p,11,144,36,11,,,,g,,o,,,e,,2,1,cut_0,gutim_1,,1
nof,1,2,1,2,2,,,0.05000000000000071,,,,,,,144,36,0,,,,,,,,,,,2,1,cut_0,gutim_1,,2
non,1,3,1,3,3,0,,0.07499999999999929,0.05,8.0,0,A5,mp-,13,144,81,13,,,,g,,o,,,e,,2,1,cut_0,gutim_1,,3
nof,1,4,1,4,4,,,0.125,,,,,,,144,81,0,,,,,,,,,,,2,1,cut_0,gutim_1,,4
non,1,5,1,5,5,1,,0.15000000000000213,0.05,8.0,0,E6,mp+,15,144,88,15,,,,g,,o,,,e,,2,1,cut_0,gutim_1,,5
nof,1,6,1,6,6,,,0.1999999999999993,,,,,,,144,88,0,,,,,,,,,,,2,1,cut_0,gutim_1,,6
non,1,7,1,7,7,2,,0.22500000000000142,0.05,8.0,0,F#3,mf+,18,144,54,18,,,,g,,o,,,e,,2,1,cut_0,gutim_1,,7
nof,1,8,1,8,8,,,0.27500000000000213,,,,,,,144,54,0,,,,,,,,,,,2,1,cut_0,gutim_1,,8
non,1,9,1,9,9,3,,0.3000000000000007,0.05,8.0,0,G#5,f,20,144,80,20,,,,g,,o,,,e,,2,1,cut_0,gutim_1,,9
nof,1,10,1,10,10,,,0.3500000000000014,,,,,,,144,80,0,,,,,,,,,,,2,1,cut_0,gutim_1,,10
non,1,11,1,11,11,4,,0.375,0.05,8.0,0,A5,ff,22,144,81,22,,,,g,,o,,,E,,2,1,cut_0,gutim_1,,11
nof,1,12,1,12,12,,,0.4250000000000007,,,,,,,144,81,0,,,,,,,,,,,2,1,cut_0,gutim_1,,12
ped,1,13,,13,13,,,0.4375,,,,,,,176,64,127,,,,,,,dV,,,,2,1,cut_0,gutim_1,,13
sec,1,14,0,14,14,,0,0.4499999999999993,,,,,,,,,,,5919,,,,,,,,,2,1,cut_0,gutim_1,,14
non,1,15,1,15,14,5,0,0.4499999999999993,2.85714285714286,0.5,0,D3,ppp,5,144,50,5,,,,,t,o,,d,,,2,1,cut_0,gutim_1,,15
non,1,16,1,16,14,5,0,0.4499999999999993,2.85714285714286,0.5,0,E3,ppp,5,144,52,5,,,,,t,o,,d,,,2,1,cut_0,gutim_1,,16
non,1,17,3,17,14,5,0,0.4499999999999993,4.28571428571429,0.5,1,C1,ff,22,144,24,22,,,,,t,o,,d,,,2,1,cut_0,gutim_1,,17
ped,1,18,0,18,15,,2314,3.5280000000000022,,,,,,,176,64,0,,,,,,,d^,,,,2,1,cut_0,gutim_1,,18
nof,1,19,1,19,16,,0,3.6640000000000015,,,,,,,144,50,0,,,,,,,,,,,2,1,cut_0,gutim_1,,19
nof,1,20,1,20,16,,0,3.6640000000000015,,,,,,,144,52,0,,,,,,,,,,,2,1,cut_0,gutim_1,,20
non,1,21,1,21,16,6,2304,3.6640000000000015,1.07142857142857,2.0,1,C6,ppp,5,144,84,5,,,,,,o,,,,,2,1,cut_0,gutim_1,,21
non,1,22,1,22,16,6,2304,3.6640000000000015,0.714285714285714,2.0,1,F6,ppp,5,144,89,5,,,,,,o,,,,,2,1,cut_0,gutim_1,,22
ped,1,23,0,23,17,,2314,3.8279999999999994,,,,,,,176,64,127,,,,,,,dV,,,,2,1,cut_0,gutim_1,,23
nof,1,24,1,24,18,,2304,4.379000000000001,,,,,,,144,89,0,,,,,,,,,,,2,1,cut_0,gutim_1,,24
ped,1,25,,25,19,,,4.711,,,,,,,176,64,0,,,,,,,d^,,,,2,1,cut_0,gutim_1,,25
bar,2,26,0,26,20,,0,4.736000000000001,,,,,,,,,,2,,,,,,,,,,2,1,cut_0,gutim_1,,26
non,2,27,3,27,20,7,0,4.736000000000001,2.85714285714286,0.5,1,A3,p,11,144,57,11,,,,,t,o,,,,,2,1,cut_0,gutim_1,,27
nof,2,28,1,28,20,,2304,4.736000000000001,,,,,,,144,84,0,,,,,,,,,,,2,1,cut_0,gutim_1,,28
ped,2,29,,29,21,,,5.186999999999999,,,,,,,176,66,127,,,,,,,sV,,,,2,1,cut_0,gutim_1,,29
non,2,30,1,30,22,8,341,5.212,0.238560267857143,4.0,0,C#6,ppp,5,144,85,5,,,,,t,o,,,,,2,1,cut_0,gutim_1,,30
ped,2,31,0,31,22,,341,5.212,,,,,,,176,64,127,,,,,,,dV,,,,2,1,cut_0,gutim_1,,31
nof,2,32,1,32,23,,341,6.1640000000000015,,,,,,,144,85,0,,,,,,,,,,,2,1,cut_0,gutim_1,,32
non,2,33,1,33,24,9,1280,6.522000000000002,0.357142857142857,4.0,0,Ab2,p,11,144,44,11,,,,,,o,,,,,2,1,cut_0,gutim_1,,33
nof,2,34,1,34,25,,1280,6.879000000000001,,,,,,,144,44,0,,,,,,,,,,,2,1,cut_0,gutim_1,,34
non,2,35,1,35,25,10,1536,6.879000000000001,0.475725446428571,2.0,0,Bb3,pp+,9,144,58,9,,,,,t,o,,,,,2,1,cut_0,gutim_1,,35
nof,2,36,1,36,26,,1536,7.472999999999999,,,,,,,144,58,0,,,,,,,,,,,2,1,cut_0,gutim_1,,36
non,2,37,1,37,26,11,1962,7.472999999999999,0.0599888392857143,16.0,0,C#7,ppp,5,144,97,5,,,,,,o,,,,,2,1,cut_0,gutim_1,,37
nof,2,38,1,38,27,,1962,7.533000000000001,,,,,,,144,97,0,,,,,,,,,,,2,1,cut_0,gutim_1,,38
non,2,39,1,39,27,12,2005,7.533000000000001,0.0599888392857143,16.0,0,Bb2,ppp,5,144,46,5,,,,,,o,,,,,2,1,cut_0,gutim_1,,39
nof,2,40,1,40,28,,2005,7.593,,,,,,,144,46,0,,,,,,,,,,,2,1,cut_0,gutim_1,,40
non,2,41,1,41,28,13,2048,7.593,0.475725446428571,2.0,0,E2,ppp+,6,144,40,6,,,,,,o,,,,,2,1,cut_0,gutim_1,,41
nof,2,42,1,42,29,,2048,8.068999999999999,,,,,,,144,40,0,,,,,,,,,,,2,1,cut_0,gutim_1,,42
non,2,43,1,43,29,14,2389,8.068999999999999,0.475725446428571,2.0,0,C#6,pp,8,144,85,8,,,,,,o,,,,,2,1,cut_0,gutim_1,,43
nof,2,44,1,44,30,,2389,8.544,,,,,,,144,85,0,,,,,,,,,,,2,1,cut_0,gutim_1,,44
non,2,45,1,45,30,15,2730,8.544,0.477120535714286,2.0,0,C5,ppp,5,144,72,5,,,,,,o,,,,,2,1,cut_0,gutim_1,,45
ped,2,46,,46,31,,,8.997000000000002,,,,,,,176,64,0,,,,,,,d^,,,,2,1,cut_0,gutim_1,,46
nof,2,47,1,47,32,,2730,9.022000000000002,,,,,,,144,72,0,,,,,,,,,,,2,1,cut_0,gutim_1,,47
bar,3,48,0,48,32,,0,9.022000000000002,,,,,,,,,,3,,,,,,,,,,2,1,cut_0,gutim_1,,48
ped,3,49,0,49,33,,588,9.841999999999999,,,,,,,176,64,127,,,,,,,dV,,,,2,1,cut_0,gutim_1,,49
non,3,50,3,50,34,16,1024,10.450000000000003,1.42857142857143,1.0,0,G#1,ppp,5,144,32,5,,,,,t,o,,,,,2,1,cut_0,gutim_1,,50
nof,3,51,3,51,35,,0,11.164000000000001,,,,,,,144,57,0,,,,,,,,,,,2,1,cut_0,gutim_1,,51
non,3,52,1,52,36,17,,11.429000000000002,0.05,8.0,0,E3,p,11,144,52,11,,,,g,,o,,,e,,2,1,cut_0,gutim_1,,52
nof,3,53,1,53,37,,,11.479,,,,,,,144,52,0,,,,,,,,,,,2,1,cut_0,gutim_1,,53
non,3,54,1,54,38,18,,11.503999999999998,0.05,8.0,0,Bb3,p+,12,144,58,12,,,,g,,o,,,e,,2,1,cut_0,gutim_1,,54
nof,3,55,1,55,39,,,11.554000000000002,,,,,,,144,58,0,,,,,,,,,,,2,1,cut_0,gutim_1,,55
non,3,56,1,56,40,19,,11.579,0.05,8.0,0,C6,p+,12,144,84,12,,,,g,,o,,,e,,2,1,cut_0,gutim_1,,56
nof,3,57,1,57,41,,,11.628999999999998,,,,,,,144,84,0,,,,,,,,,,,2,1,cut_0,gutim_1,,57
non,3,58,1,58,42,20,,11.654000000000003,0.05,8.0,0,C#7,mp-,13,144,97,13,,,,g,,o,,,e,,2,1,cut_0,gutim_1,,58
nof,3,59,1,59,43,,,11.704,,,,,,,144,97,0,,,,,,,,,,,2,1,cut_0,gutim_1,,59
non,3,60,1,60,44,21,,11.729,0.05,8.0,0,G#2,mp-,13,144,44,13,,,,g,,o,,,e,,2,1,cut_0,gutim_1,,60
nof,3,61,1,61,45,,,11.779000000000003,,,,,,,144,44,0,,,,,,,,,,,2,1,cut_0,gutim_1,,61
non,3,62,1,62,46,22,,11.804000000000002,0.05,8.0,0,Bb4,mp,14,144,70,14,,,,g,,o,,,e,,2,1,cut_0,gutim_1,,62
nof,3,63,1,63,47,,,11.854,,,,,,,144,70,0,,,,,,,,,,,2,1,cut_0,gutim_1,,63
ped,3,64,,64,48,,,11.866499999999998,,,,,,,176,64,0,,,,,,,d^,,,,2,1,cut_0,gutim_1,,64
non,3,65,1,65,49,23,2048,11.878999999999998,0.714285714285714,2.0,0,E4,mp,14,144,64,14,,,,,t,o,,,E,,2,1,cut_0,gutim_1,,65
ped,3,66,,66,50,,,12.568000000000003,,,,,,,176,66,0,,,,,,,s^,,,,2,1,cut_0,gutim_1,,66
nof,3,67,3,67,51,,0,12.593000000000004,,,,,,,144,24,0,,,,,,,,,,,2,1,cut_0,gutim_1,,67
non,3,68,1,68,51,24,2560,12.593000000000004,0.714285714285714,2.0,0,E5,ff,22,144,76,22,,,,,,o,,,,,2,1,cut_0,gutim_1,,68
non,3,69,3,69,51,24,2560,12.593000000000004,0.714285714285714,2.0,0,A3,ff,22,144,57,22,,,,,,o,,,,,2,1,cut_0,gutim_1,,69
