UID,trk,dtick,atick,amicro,type,ch,D0,D1,sci_pitch
    0,  0,         0,         0,         0,tsig,1,2,,    
    1,  0,         0,         0,         0,ksig,,,,    
    2,  0,         0,         0,         0,tempo,75,bpm,,    
  120,  1,         0,         0,         0,name,,,,    
  121,  1,         0,         0,         0, pgm,  0,  1,  0,    
  122,  1,         0,         0,         0, ctl,  0, 64,  0,    
  123,  1,         0,         0,         0, ctl,  0, 64,  0,    
 1265,  2,         1,         1,       781,copy,,,,    
 1266,  2,         0,         1,       781,eot,,,,    
    3,  0,      1024,      1024,    799999,tsig,3,3,,    
  124,  1,      1024,      1024,    799999, ctl,  0, 64,  0,    
  125,  1,         0,      1024,    799999, ctl,  0, 64,  0,    
  126,  1,         0,      1024,    799999, ctl,  0, 64,  0,    
    4,  0,       512,      1536,   1199999,tempo,45,bpm,,    
  127,  1,       512,      1536,   1199999, non,  0, 53, 22,  F3
  128,  1,         0,      1536,   1199999, non,  0, 60, 22,  C4
  129,  1,         0,      1536,   1199999, non,  0, 64, 30,  E4
  130,  1,         0,      1536,   1199999, non,  0, 45, 19,  A2
  131,  1,       341,      1877,   1644009, ctl,  0, 64,127,    
    5,  0,       512,      2048,   1866665,tempo,66,bpm,,    
  132,  1,       171,      2048,   1866665, non,  0, 69, 33,  A4
  133,  1,       510,      2558,   2319434, ctl,  0, 64,127,    
    6,  0,       512,      2560,   2321209,tsig,6,3,,    
    7,  0,         0,      2560,   2321209,tempo,60,bpm,,    
  134,  1,         2,      2560,   2321209, ctl,  0, 64,  0,    
  135,  1,         0,      2560,   2321209, nof,  0, 64,  0,    
  136,  1,         0,      2560,   2321209, nof,  0, 69,  0,    
  137,  1,         0,      2560,   2321209, non,  0, 64, 38,  E4
  138,  1,       196,      2756,   2512615, ctl,  0, 64,127,    
  139,  1,         0,      2756,   2512615, ctl,  0, 64,127,    
  140,  1,        95,      2851,   2605388, ctl,  0, 64,127,    
  141,  1,         0,      2851,   2605388, ctl,  0, 64,127,    
    8,  0,       512,      3072,   2821208,tempo,66,bpm,,    
  142,  1,       221,      3072,   2821208, non,  0, 59, 23,  B3
  143,  1,         0,      3072,   2821208, non,  0, 63, 34, D#4
  144,  1,        38,      3110,   2854943, ctl,  0, 64,  0,    
  145,  1,         0,      3110,   2854943, ctl,  0, 64,  0,    
  146,  1,        12,      3122,   2865596, nof,  0, 60,  0,    
  147,  1,         0,      3122,   2865596, nof,  0, 64,  0,    
  148,  1,       223,      3345,   3063571, ctl,  0, 64,127,    
  149,  1,         0,      3345,   3063571, ctl,  0, 64,127,    
    9,  0,       512,      3584,   3275751,tempo,60,bpm,,    
  150,  1,       239,      3584,   3275751, nof,  0, 53,  0,    
  151,  1,         0,      3584,   3275751, nof,  0, 59,  0,    
  152,  1,         0,      3584,   3275751, nof,  0, 63,  0,    
  153,  1,         0,      3584,   3275751, non,  0, 53, 24,  F3
  154,  1,         0,      3584,   3275751, non,  0, 57, 31,  A3
  155,  1,         0,      3584,   3275751, nof,  0, 45,  0,    
  156,  1,         0,      3584,   3275751, non,  0, 40,  9,  E2
  157,  1,         0,      3584,   3275751, non,  0, 48,  9,  C3
  158,  1,        32,      3616,   3307001, ctl,  0, 64,127,    
  159,  1,         0,      3616,   3307001, ctl,  0, 64,127,    
  160,  1,        65,      3681,   3370477, ctl,  0, 64,  0,    
  161,  1,         0,      3681,   3370477, ctl,  0, 64,  0,    
  162,  1,       162,      3843,   3528680, ctl,  0, 64,127,    
  163,  1,         0,      3843,   3528680, ctl,  0, 64,127,    
   10,  0,       512,      4096,   3775750,tempo,45,bpm,,    
  164,  1,       253,      4096,   3775750, nof,  0, 53,  0,    
  165,  1,         0,      4096,   3775750, nof,  0, 57,  0,    
  166,  1,         0,      4096,   3775750, non,  0, 53, 20,  F3
  167,  1,         0,      4096,   3775750, non,  0, 57, 20,  A3
  168,  1,         0,      4096,   3775750, non,  0, 60, 20,  C4
  169,  1,         0,      4096,   3775750, non,  0, 64, 20,  E4
  170,  1,         0,      4096,   3775750, non,  0, 65, 20,  F4
  171,  1,         0,      4096,   3775750, non,  0, 69, 20,  A4
  172,  1,         0,      4096,   3775750, non,  0, 72, 40,  C5
   11,  0,       512,      4608,   4442416,tempo,55,bpm,,    
  173,  1,       512,      4608,   4442416, nof,  0, 53,  0,    
  174,  1,         0,      4608,   4442416, nof,  0, 57,  0,    
  175,  1,         0,      4608,   4442416, nof,  0, 60,  0,    
  176,  1,         0,      4608,   4442416, nof,  0, 64,  0,    
  177,  1,         0,      4608,   4442416, nof,  0, 65,  0,    
  178,  1,         0,      4608,   4442416, nof,  0, 69,  0,    
  179,  1,         0,      4608,   4442416, nof,  0, 72,  0,    
  180,  1,         0,      4608,   4442416, non,  0, 53, 21,  F3
  181,  1,         0,      4608,   4442416, non,  0, 60, 21,  C4
  182,  1,         0,      4608,   4442416, non,  0, 64, 35,  E4
